任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,向子立5,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:25:26
获取声誉辅助信息,向子立5,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:25:26
获取声誉辅助信息,向子立5,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:25:26
获取声誉辅助信息,cs,巴西,失败：登录失效,2026-09-10 00:22:27
获取声誉辅助信息,cs,墨西哥,失败：登录失效,2026-09-10 00:22:29
获取声誉辅助信息,健步如飞1,阿根廷,失败：站点切换失败,2026-09-10 00:23:55
获取声誉辅助信息,健步如飞1,墨西哥,失败：站点切换失败,2026-09-10 00:25:26
获取声誉辅助信息,大展宏图,阿根廷,失败：站点切换失败,2026-09-10 00:26:29
获取声誉辅助信息,向子立4,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:25:17
获取声誉辅助信息,向子立4,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:25:17
获取声誉辅助信息,向子立4,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:25:17
获取声誉辅助信息,张健6,阿根廷,失败：站点切换失败,2026-09-10 00:26:49
获取声誉辅助信息,张健6,巴西,失败：站点切换失败,2026-09-10 00:27:57
获取声誉辅助信息,向华章1,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号190，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:09
获取声誉辅助信息,向华章1,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号190，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:09
获取声誉辅助信息,向华章1,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号190，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:09
获取声誉辅助信息,向华章4,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号193，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:33
获取声誉辅助信息,向华章4,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号193，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:33
获取声誉辅助信息,向华章4,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号193，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:33
获取声誉辅助信息,向华章3,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号192，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:24
获取声誉辅助信息,向华章3,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号192，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:24
获取声誉辅助信息,向华章3,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号192，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:24
获取声誉辅助信息,vngbjkk,阿根廷,失败：登录失效,2026-09-10 00:22:33
获取声誉辅助信息,vngbjkk,巴西,失败：登录失效,2026-09-10 00:22:35
获取声誉辅助信息,vngbjkk,墨西哥,失败：登录失效,2026-09-10 00:22:35
获取声誉辅助信息,向华章2,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号191，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:17
获取声誉辅助信息,向华章2,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号191，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:17
获取声誉辅助信息,向华章2,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号191，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-10 00:24:17
获取声誉辅助信息,七星高照,阿根廷,失败：登录失效,2026-09-10 00:22:52
获取声誉辅助信息,七星高照,巴西,失败：登录失效,2026-09-10 00:22:54
获取声誉辅助信息,七星高照,墨西哥,失败：登录失效,2026-09-10 00:22:54
获取声誉辅助信息,向华章5,阿根廷,失败：站点切换失败,2026-09-10 00:24:53
获取声誉辅助信息,向华章5,巴西,失败：站点切换失败,2026-09-10 00:26:01
获取声誉辅助信息,向华章5,墨西哥,失败：站点切换失败,2026-09-10 00:27:09
获取声誉辅助信息,一跃千里,巴西,失败：站点切换失败,2026-09-10 00:23:58
获取声誉辅助信息,一跃千里,墨西哥,失败：站点切换失败,2026-09-10 00:25:06
获取声誉辅助信息,光彩夺目,阿根廷,失败：站点切换失败,2026-09-10 00:27:01
获取声誉辅助信息,光彩夺目,巴西,失败：站点切换失败,2026-09-10 00:30:59
获取声誉辅助信息,光彩夺目,墨西哥,失败：站点切换失败,2026-09-10 00:38:17
获取声誉辅助信息,健步如飞2,阿根廷,失败：站点切换失败,2026-09-10 00:26:53
获取声誉辅助信息,健步如飞2,巴西,失败：访问限频,2026-09-10 00:29:43
获取声誉辅助信息,健步如飞2,墨西哥,失败：站点切换失败,2026-09-10 00:38:17
获取声誉辅助信息,向知屿13,阿根廷,失败：站点切换失败,2026-09-10 00:28:34
获取声誉辅助信息,向知屿13,巴西,失败：站点切换失败,2026-09-10 00:32:28
获取声誉辅助信息,向知屿13,墨西哥,失败：站点切换失败,2026-09-10 00:38:18
获取声誉辅助信息,四季如春,阿根廷,失败：站点切换失败,2026-09-10 00:28:28
获取声誉辅助信息,四季如春,巴西,失败：站点切换失败,2026-09-10 00:32:24
