任务类型,店铺名,站点,状态,记录时间
获取侵权信息,腾,墨西哥,失败：登录失效,2026-08-06 18:16:43
获取侵权信息,腾,阿根廷,失败：登录失效,2026-08-06 18:16:43
获取侵权信息,春暖花开,巴西,失败：登录失效,2026-08-06 18:17:12
获取侵权信息,春暖花开,阿根廷,失败：登录失效,2026-08-06 18:17:12
获取侵权信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-06 18:21:09
获取侵权信息,钱程似锦2,巴西,失败：登录失效,2026-08-06 18:21:09
获取侵权信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-06 18:21:09
获取侵权信息,马到成功,墨西哥,失败：登录失效,2026-08-06 18:18:07
获取侵权信息,马到成功,阿根廷,失败：登录失效,2026-08-06 18:18:07
获取侵权信息,vngbjkk,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-06 18:37:58
获取侵权信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-06 18:26:27
获取侵权信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-06 18:26:27
