任务类型,店铺名,站点,状态,记录时间
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-06 05:38:37
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-06 05:38:47
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-06 05:35:46
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-06 05:35:56
获取声誉信息,vngbjkk,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-06 06:15:53
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-06 05:45:15
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-06 05:45:25
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-06 05:45:25
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-06 05:53:29
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-06 05:53:29
