任务类型,店铺名,站点,状态,记录时间
获取声誉信息,策马奔腾,墨西哥,失败：登录失效,2026-07-29 02:15:10
获取声誉信息,策马奔腾,阿根廷,失败：登录失效,2026-07-29 02:15:20
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-07-29 02:15:47
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-07-29 02:15:57
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-07-29 02:21:01
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-07-29 02:21:11
获取声誉信息,钱程似锦5,墨西哥,失败：登录失效,2026-07-29 02:46:12
获取声誉信息,钱程似锦5,巴西,失败：登录失效,2026-07-29 02:46:22
获取声誉信息,聚财鼠,墨西哥,失败：登录失效,2026-07-29 03:26:05
获取声誉信息,聚财鼠,巴西,失败：登录失效,2026-07-29 03:26:15
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-07-29 03:26:44
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-07-29 03:26:44
