任务类型,店铺名,站点,状态,记录时间
获取声誉信息,大展宏图,墨西哥,失败：登录失效,2026-07-31 02:39:05
获取声誉信息,大展宏图,巴西,失败：登录失效,2026-07-31 02:39:15
获取声誉信息,大展宏图,阿根廷,失败：登录失效,2026-07-31 02:39:15
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-07-31 02:39:14
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-07-31 02:39:25
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-07-31 02:36:00
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-07-31 02:36:11
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-07-31 02:44:45
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-07-31 02:44:55
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-07-31 02:44:55
获取声誉信息,张健1,墨西哥,失败：登录失效,2026-07-31 02:50:10
获取声誉信息,张健1,巴西,失败：登录失效,2026-07-31 02:50:20
获取声誉信息,张健1,阿根廷,失败：登录失效,2026-07-31 02:50:20
获取声誉信息,功成名就,墨西哥,失败：登录失效,2026-07-31 02:52:54
获取声誉信息,功成名就,巴西,失败：登录失效,2026-07-31 02:53:04
获取声誉信息,功成名就,阿根廷,失败：登录失效,2026-07-31 02:53:04
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-07-31 02:53:05
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-07-31 02:53:05
获取声誉信息,顺财羊,墨西哥,失败：登录失效,2026-07-31 02:53:02
获取声誉信息,顺财羊,巴西,失败：登录失效,2026-07-31 02:53:12
获取声誉信息,顺财羊,阿根廷,失败：登录失效,2026-07-31 02:53:12
获取声誉信息,杨雨萌9,巴西,失败：登录失效,2026-07-31 02:58:40
