任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,vngbjkk,阿根廷,失败：登录失效,2026-09-05 02:44:47
获取声誉辅助信息,vngbjkk,巴西,失败：登录失效,2026-09-05 02:44:49
获取声誉辅助信息,vngbjkk,墨西哥,失败：登录失效,2026-09-05 02:44:49
获取声誉辅助信息,向华章3,阿根廷,失败：登录失效,2026-09-05 02:51:07
获取声誉辅助信息,向华章3,巴西,失败：登录失效,2026-09-05 02:51:09
获取声誉辅助信息,向华章3,墨西哥,失败：登录失效,2026-09-05 02:51:09
获取声誉辅助信息,向华章1,阿根廷,失败：登录失效,2026-09-05 02:50:00
获取声誉辅助信息,向华章1,巴西,失败：登录失效,2026-09-05 02:50:02
获取声誉辅助信息,向华章1,墨西哥,失败：登录失效,2026-09-05 02:50:02
获取声誉辅助信息,健步如飞1,阿根廷,失败：站点切换失败,2026-09-05 02:46:30
获取声誉辅助信息,健步如飞1,墨西哥,失败：站点切换失败,2026-09-05 02:49:17
获取声誉辅助信息,七星高照,阿根廷,失败：站点切换失败,2026-09-05 02:46:30
获取声誉辅助信息,七星高照,巴西,失败：站点切换失败,2026-09-05 02:48:27
获取声誉辅助信息,一跃千里,巴西,失败：站点切换失败,2026-09-05 02:46:58
获取声誉辅助信息,一跃千里,墨西哥,失败：站点切换失败,2026-09-05 02:49:01
获取声誉辅助信息,健步如飞,巴西,失败：站点切换失败,2026-09-05 02:47:01
获取声誉辅助信息,健步如飞,墨西哥,失败：站点切换失败,2026-09-05 02:49:01
获取声誉辅助信息,光彩夺目,阿根廷,失败：站点切换失败,2026-09-05 02:52:13
获取声誉辅助信息,光彩夺目,巴西,失败：站点切换失败,2026-09-05 02:54:16
获取声誉辅助信息,向华章2,阿根廷,失败：站点切换失败,2026-09-05 02:52:55
获取声誉辅助信息,向华章2,巴西,失败：站点切换失败,2026-09-05 02:54:12
获取声誉辅助信息,向华章2,墨西哥,失败：站点切换失败,2026-09-05 02:55:28
获取声誉辅助信息,健步如飞2,阿根廷,失败：站点切换失败,2026-09-05 02:51:48
获取声誉辅助信息,健步如飞2,巴西,失败：站点切换失败,2026-09-05 02:53:47
获取声誉辅助信息,健步如飞2,墨西哥,失败：站点切换失败,2026-09-05 02:56:17
获取声誉辅助信息,向子立4,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-05 02:56:36
获取声誉辅助信息,向子立4,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-05 02:56:36
获取声誉辅助信息,向子立4,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-05 02:56:36
获取声誉辅助信息,向子立5,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-05 02:57:35
获取声誉辅助信息,向子立5,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-05 02:57:35
获取声誉辅助信息,向子立5,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-05 02:57:35
获取声誉辅助信息,向华章4,阿根廷,失败：站点切换失败,2026-09-05 02:53:47
获取声誉辅助信息,向华章4,巴西,失败：站点切换失败,2026-09-05 02:56:17
