任务类型,店铺名,站点,状态,记录时间
获取声誉信息,大展宏图,墨西哥,失败：登录失效,2026-07-30 16:11:35
获取声誉信息,大展宏图,巴西,失败：登录失效,2026-07-30 16:11:45
获取声誉信息,大展宏图,阿根廷,失败：登录失效,2026-07-30 16:11:45
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-07-30 16:10:57
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-07-30 16:11:07
获取声誉信息,钱程似锦5,墨西哥,失败：登录失效,2026-07-30 16:20:44
获取声誉信息,钱程似锦5,巴西,失败：登录失效,2026-07-30 16:20:54
获取声誉信息,来财马,墨西哥,失败：登录失效,2026-07-30 16:29:28
获取声誉信息,来财马,巴西,失败：登录失效,2026-07-30 16:29:39
获取声誉信息,来财马,阿根廷,失败：登录失效,2026-07-30 16:29:39
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-07-30 16:30:16
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-07-30 16:30:16
