任务类型,店铺名,站点,状态,记录时间
获取侵权信息,春暖花开,巴西,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:14
获取侵权信息,春暖花开,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:14
获取侵权信息,旺财狗,墨西哥,失败：登录失效,2026-08-29 15:16:45
获取侵权信息,旺财狗,巴西,失败：登录失效,2026-08-29 15:16:45
获取侵权信息,旺财狗,阿根廷,失败：登录失效,2026-08-29 15:16:45
获取侵权信息,健步如飞,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:22
获取侵权信息,健步如飞,巴西,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:22
获取侵权信息,健步如飞,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:22
获取侵权信息,七星高照,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:31
获取侵权信息,七星高照,巴西,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:31
获取侵权信息,七星高照,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:31
获取侵权信息,六六大顺,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:39
获取侵权信息,六六大顺,巴西,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:39
获取侵权信息,六六大顺,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:39
获取侵权信息,四季如春,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:46
获取侵权信息,四季如春,巴西,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:46
获取侵权信息,四季如春,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:46
获取侵权信息,腾,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:54
获取侵权信息,腾,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:28:54
获取侵权信息,vngbjkk,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:29:00
获取侵权信息,龙,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:29:07
获取侵权信息,龙,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': 'token 失效，请检查登录状态'}",2026-08-29 15:29:07
获取侵权信息,跃马扬鞭,墨西哥,失败：登录失效,2026-08-29 15:13:06
