任务类型,店铺名,站点,状态,记录时间
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-07 14:36:07
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-07 14:36:17
获取声誉信息,vngbjkk,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-07 15:49:04
获取声誉信息,腾,墨西哥,失败：登录失效,2026-08-07 14:32:54
获取声誉信息,腾,阿根廷,失败：登录失效,2026-08-07 14:33:04
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-07 14:33:30
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-07 14:33:40
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-07 14:44:06
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-07 14:44:16
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-07 14:44:16
获取声誉信息,张健2,巴西,失败：登录失效,2026-08-07 14:55:23
获取声誉信息,张健2,阿根廷,失败：登录失效,2026-08-07 14:55:33
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-07 14:57:52
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-07 14:57:52
获取声誉信息,金光闪闪,巴西,失败：登录失效,2026-08-07 14:59:12
获取声誉信息,金光闪闪,阿根廷,失败：登录失效,2026-08-07 14:59:22
获取声誉信息,杨雨萌11,巴西,失败：登录失效,2026-08-07 15:01:17
