任务类型,店铺名,站点,状态,记录时间
获取声誉信息,腾,墨西哥,失败：登录失效,2026-08-08 11:48:03
获取声誉信息,腾,阿根廷,失败：登录失效,2026-08-08 11:48:13
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-08 11:55:06
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-08 11:55:16
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-08 12:00:29
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-08 12:00:39
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-08 12:28:07
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-08 12:28:17
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-08 12:28:17
获取声誉信息,金光闪闪,墨西哥,失败：登录失效,2026-08-08 12:58:09
获取声誉信息,金光闪闪,巴西,失败：登录失效,2026-08-08 12:58:19
获取声誉信息,金光闪闪,阿根廷,失败：登录失效,2026-08-08 12:58:19
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-08 13:09:03
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-08 13:09:03
获取声誉信息,金玉满堂（fti）,墨西哥,失败：登录失效,2026-08-08 13:21:53
获取声誉信息,金玉满堂（fti）,巴西,失败：登录失效,2026-08-08 13:22:03
获取声誉信息,金玉满堂（fti）,阿根廷,失败：登录失效,2026-08-08 13:22:03
获取声誉信息,金玉满堂（fti）,智利,失败：登录失效,2026-08-08 13:22:03
获取声誉信息,金玉满堂（fti）,哥伦比亚,失败：登录失效,2026-08-08 13:22:03
获取声誉信息,金玉满堂（fti）,乌拉圭,失败：登录失效,2026-08-08 13:22:03
