任务类型,店铺名,站点,状态,记录时间
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-02 13:48:42
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-02 13:48:52
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-02 13:53:45
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-02 13:53:55
获取声誉信息,腾,墨西哥,失败：登录失效,2026-08-02 13:49:38
获取声誉信息,腾,阿根廷,失败：登录失效,2026-08-02 13:49:48
获取声誉信息,健步如飞（fti）,墨西哥,失败：登录失效,2026-08-02 14:13:33
获取声誉信息,健步如飞（fti）,巴西,失败：登录失效,2026-08-02 14:13:43
获取声誉信息,健步如飞（fti）,智利,失败：登录失效,2026-08-02 14:13:43
获取声誉信息,健步如飞（fti）,阿根廷,失败：登录失效,2026-08-02 14:13:43
获取声誉信息,健步如飞（fti）,乌拉圭,失败：登录失效,2026-08-02 14:13:43
获取声誉信息,健步如飞（fti）,哥伦比亚,失败：登录失效,2026-08-02 14:13:43
获取声誉信息,顺财羊,墨西哥,失败：登录失效,2026-08-02 14:16:56
获取声誉信息,顺财羊,巴西,失败：登录失效,2026-08-02 14:17:06
获取声誉信息,顺财羊,阿根廷,失败：登录失效,2026-08-02 14:17:06
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-02 14:19:26
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-02 14:19:26
获取声誉信息,杨雨萌5,墨西哥,失败：登录失效,2026-08-02 14:19:57
获取声誉信息,杨雨萌5,巴西,失败：登录失效,2026-08-02 14:20:07
获取声誉信息,顺风顺水(fti),墨西哥,失败：登录失效,2026-08-02 14:21:37
获取声誉信息,顺风顺水(fti),巴西,失败：登录失效,2026-08-02 14:21:47
获取声誉信息,顺风顺水(fti),智利,失败：登录失效,2026-08-02 14:21:47
获取声誉信息,顺风顺水(fti),阿根廷,失败：登录失效,2026-08-02 14:21:47
获取声誉信息,顺风顺水(fti),乌拉圭,失败：登录失效,2026-08-02 14:21:47
获取声誉信息,顺风顺水(fti),哥伦比亚,失败：登录失效,2026-08-02 14:21:47
获取声誉信息,聚财鼠,巴西,失败：登录失效,2026-08-02 14:23:27
