任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,cs,巴西,失败：登录失效,2026-09-12 12:14:33
获取声誉辅助信息,cs,墨西哥,失败：登录失效,2026-09-12 12:14:35
获取声誉辅助信息,健步如飞,阿根廷,失败：登录失效,2026-09-12 12:15:01
获取声誉辅助信息,健步如飞,巴西,失败：登录失效,2026-09-12 12:15:03
获取声誉辅助信息,健步如飞,墨西哥,失败：登录失效,2026-09-12 12:15:03
获取声誉辅助信息,向华章3,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号192，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:27
获取声誉辅助信息,向华章3,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号192，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:27
获取声誉辅助信息,向华章3,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号192，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:27
获取声誉辅助信息,向华章5,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号194，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:42
获取声誉辅助信息,向华章5,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号194，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:42
获取声誉辅助信息,向华章5,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号194，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:42
获取声誉辅助信息,向华章4,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号193，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:35
获取声誉辅助信息,向华章4,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号193，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:35
获取声誉辅助信息,向华章4,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号193，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:35
获取声誉辅助信息,vngbjkk,阿根廷,失败：登录失效,2026-09-12 12:14:38
获取声誉辅助信息,vngbjkk,巴西,失败：登录失效,2026-09-12 12:14:40
获取声誉辅助信息,vngbjkk,墨西哥,失败：登录失效,2026-09-12 12:14:40
获取声誉辅助信息,健步如飞2,阿根廷,失败：页面元素等待超时,2026-09-12 12:15:52
获取声誉辅助信息,健步如飞2,巴西,失败：页面元素等待超时,2026-09-12 12:15:52
获取声誉辅助信息,健步如飞2,墨西哥,失败：页面元素等待超时,2026-09-12 12:15:52
获取声誉辅助信息,向子立5,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:59
获取声誉辅助信息,向子立5,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:59
获取声誉辅助信息,向子立5,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:59
获取声誉辅助信息,向华章2,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号191，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:16
获取声誉辅助信息,向华章2,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号191，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:16
获取声誉辅助信息,向华章2,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号191，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:16
获取声誉辅助信息,向子立4,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:52
获取声誉辅助信息,向子立4,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:52
获取声誉辅助信息,向子立4,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:52
获取声誉辅助信息,七星高照,阿根廷,失败：登录失效,2026-09-12 12:14:55
获取声誉辅助信息,七星高照,巴西,失败：登录失效,2026-09-12 12:14:57
获取声誉辅助信息,七星高照,墨西哥,失败：登录失效,2026-09-12 12:14:57
获取声誉辅助信息,向华章1,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号190，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:11
获取声誉辅助信息,向华章1,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号190，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:11
获取声誉辅助信息,向华章1,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号190，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-12 12:16:11
获取声誉辅助信息,大展宏图,阿根廷,失败：访问限频,2026-09-12 12:19:22
获取声誉辅助信息,大展宏图,智利,失败：站点切换失败,2026-09-12 12:27:23
获取声誉辅助信息,一跃千里,阿根廷,失败：站点切换失败,2026-09-12 12:18:23
获取声誉辅助信息,一跃千里,巴西,失败：站点切换失败,2026-09-12 12:26:02
获取声誉辅助信息,一跃千里,墨西哥,失败：访问限频,2026-09-12 12:28:47
获取声誉辅助信息,张健5,阿根廷,失败：访问限频,2026-09-12 12:19:34
获取声誉辅助信息,张健5,巴西,失败：站点切换失败,2026-09-12 12:27:23
获取声誉辅助信息,张健5,墨西哥,失败：站点切换失败,2026-09-12 12:34:59
获取声誉辅助信息,张健3,阿根廷,失败：访问限频,2026-09-12 12:19:31
获取声誉辅助信息,张健3,巴西,失败：站点切换失败,2026-09-12 12:27:26
获取声誉辅助信息,张健3,墨西哥,失败：站点切换失败,2026-09-12 12:34:59
获取声誉辅助信息,光彩夺目,阿根廷,失败：站点切换失败,2026-09-12 12:19:04
获取声誉辅助信息,光彩夺目,巴西,失败：站点切换失败,2026-09-12 12:27:22
获取声誉辅助信息,光彩夺目,墨西哥,失败：站点切换失败,2026-09-12 12:35:00
获取声誉辅助信息,向知屿13,阿根廷,失败：访问限频,2026-09-12 12:19:05
获取声誉辅助信息,向知屿13,巴西,失败：站点切换失败,2026-09-12 12:27:21
获取声誉辅助信息,向知屿13,墨西哥,失败：站点切换失败,2026-09-12 12:35:00
获取声誉辅助信息,健步如飞1,阿根廷,失败：站点切换失败,2026-09-12 12:18:45
获取声誉辅助信息,健步如飞1,巴西,失败：站点切换失败,2026-09-12 12:27:22
获取声誉辅助信息,健步如飞1,墨西哥,失败：站点切换失败,2026-09-12 12:35:00
获取声誉辅助信息,四季如春,阿根廷,失败：访问限频,2026-09-12 12:19:12
获取声誉辅助信息,四季如春,巴西,失败：站点切换失败,2026-09-12 12:27:26
获取声誉辅助信息,四季如春,墨西哥,失败：站点切换失败,2026-09-12 12:35:00
获取声誉辅助信息,张健6,阿根廷,失败：站点切换失败,2026-09-12 12:24:45
获取声誉辅助信息,张健6,巴西,失败：站点切换失败,2026-09-12 12:28:42
获取声誉辅助信息,张健6,墨西哥,失败：站点切换失败,2026-09-12 12:36:26
获取声誉辅助信息,张昕1,阿根廷,失败：站点切换失败,2026-09-12 12:24:43
获取声誉辅助信息,张昕1,巴西,失败：站点切换失败,2026-09-12 12:28:39
获取声誉辅助信息,张昕1,智利,失败：站点切换失败,2026-09-12 12:36:20
获取声誉辅助信息,张昕1,墨西哥,失败：站点切换失败,2026-09-12 12:43:14
获取声誉辅助信息,招财猫,阿根廷,失败：站点切换失败,2026-09-12 12:31:37
获取声誉辅助信息,招财猫,巴西,失败：站点切换失败,2026-09-12 12:37:46
获取声誉辅助信息,招财猫,墨西哥,失败：站点切换失败,2026-09-12 12:45:53
获取声誉辅助信息,杨柳依依1,阿根廷,失败：访问限频,2026-09-12 12:38:10
获取声誉辅助信息,杨柳依依1,巴西,失败：站点切换失败,2026-09-12 12:45:50
获取声誉辅助信息,杨柳依依1,墨西哥,失败：站点切换失败,2026-09-12 12:52:35
获取声誉辅助信息,旺财狗,阿根廷,失败：访问限频,2026-09-12 12:38:00
获取声誉辅助信息,旺财狗,巴西,失败：站点切换失败,2026-09-12 12:45:52
获取声誉辅助信息,旺财狗,墨西哥,失败：站点切换失败,2026-09-12 12:52:34
获取声誉辅助信息,招财猫222,阿根廷,失败：站点切换失败,2026-09-12 12:37:54
获取声誉辅助信息,招财猫222,巴西,失败：站点切换失败,2026-09-12 12:45:51
获取声誉辅助信息,招财猫222,墨西哥,失败：站点切换失败,2026-09-12 12:52:36
获取声誉辅助信息,来财马,阿根廷,失败：访问限频,2026-09-12 12:38:01
获取声誉辅助信息,来财马,巴西,失败：站点切换失败,2026-09-12 12:45:52
获取声誉辅助信息,来财马,墨西哥,失败：站点切换失败,2026-09-12 12:52:36
获取声誉辅助信息,招财猫333,阿根廷,失败：访问限频,2026-09-12 12:37:57
获取声誉辅助信息,招财猫333,巴西,失败：站点切换失败,2026-09-12 12:45:52
获取声誉辅助信息,招财猫333,墨西哥,失败：站点切换失败,2026-09-12 12:52:36
获取声誉辅助信息,杨柳依依4,阿根廷,失败：站点切换失败,2026-09-12 12:43:12
获取声誉辅助信息,杨柳依依4,巴西,失败：站点切换失败,2026-09-12 12:47:06
获取声誉辅助信息,杨柳依依4,墨西哥,失败：站点切换失败,2026-09-12 12:55:13
获取声誉辅助信息,杨柳依依2,阿根廷,失败：站点切换失败,2026-09-12 12:43:13
获取声誉辅助信息,杨柳依依2,巴西,失败：站点切换失败,2026-09-12 12:47:09
获取声誉辅助信息,杨柳依依2,墨西哥,失败：站点切换失败,2026-09-12 12:55:13
获取声誉辅助信息,杨雨萌11,阿根廷,失败：站点切换失败,2026-09-12 12:44:33
获取声誉辅助信息,杨雨萌11,巴西,失败：访问限频,2026-09-12 12:47:16
获取声誉辅助信息,杨雨萌11,墨西哥,失败：站点切换失败,2026-09-12 12:55:16
获取声誉辅助信息,腾,阿根廷,失败：登录失效,2026-09-12 13:00:48
获取声誉辅助信息,腾,巴西,失败：登录失效,2026-09-12 13:00:50
获取声誉辅助信息,腾,墨西哥,失败：登录失效,2026-09-12 13:00:50
获取声誉辅助信息,杨雨萌15,阿根廷,失败：站点切换失败,2026-09-12 12:47:24
获取声誉辅助信息,杨雨萌15,巴西,失败：站点切换失败,2026-09-12 12:55:15
获取声誉辅助信息,杨雨萌15,墨西哥,失败：站点切换失败,2026-09-12 13:02:54
获取声誉辅助信息,梁山好汉333,阿根廷,失败：访问限频,2026-09-12 12:55:33
获取声誉辅助信息,梁山好汉333,巴西,失败：站点切换失败,2026-09-12 13:04:14
获取声誉辅助信息,梁山好汉222,阿根廷,失败：访问限频,2026-09-12 12:55:31
获取声誉辅助信息,梁山好汉222,巴西,失败：站点切换失败,2026-09-12 13:04:14
获取声誉辅助信息,杨雨萌5,阿根廷,失败：站点切换失败,2026-09-12 12:53:54
获取声誉辅助信息,杨雨萌5,巴西,失败：站点切换失败,2026-09-12 13:01:34
获取声誉辅助信息,杨雨萌5,墨西哥,失败：站点切换失败,2026-09-12 13:05:30
获取声誉辅助信息,流光溢彩,阿根廷,失败：访问限频,2026-09-12 12:55:45
获取声誉辅助信息,流光溢彩,巴西,失败：站点切换失败,2026-09-12 13:04:13
获取声誉辅助信息,流光溢彩,墨西哥,失败：站点切换失败,2026-09-12 13:08:07
获取声誉辅助信息,熊心豹胆2,阿根廷,失败：访问限频,2026-09-12 12:55:36
获取声誉辅助信息,熊心豹胆2,巴西,失败：站点切换失败,2026-09-12 13:04:13
获取声誉辅助信息,熊心豹胆2,墨西哥,失败：站点切换失败,2026-09-12 13:08:06
获取声誉辅助信息,熊心豹胆3,阿根廷,失败：访问限频,2026-09-12 12:55:44
获取声誉辅助信息,熊心豹胆3,巴西,失败：站点切换失败,2026-09-12 13:04:13
获取声誉辅助信息,熊心豹胆3,墨西哥,失败：站点切换失败,2026-09-12 13:08:08
获取声誉辅助信息,蒋学斌4,巴西,失败：登录失效,2026-09-12 13:05:54
获取声誉辅助信息,蒋学斌4,墨西哥,失败：登录失效,2026-09-12 13:10:00
获取声誉辅助信息,蓝海峰2,阿根廷,失败：登录失效,2026-09-12 13:10:45
获取声誉辅助信息,蓝海峰2,巴西,失败：登录失效,2026-09-12 13:10:47
获取声誉辅助信息,蓝海峰2,墨西哥,失败：登录失效,2026-09-12 13:10:47
获取声誉辅助信息,蒋学斌1,巴西,失败：站点切换失败,2026-09-12 13:04:54
获取声誉辅助信息,蒋学斌1,墨西哥,失败：站点切换失败,2026-09-12 13:12:34
获取声誉辅助信息,蒋学斌3,巴西,失败：站点切换失败,2026-09-12 13:08:26
获取声誉辅助信息,蒋学斌3,墨西哥,失败：访问限频,2026-09-12 13:12:43
获取声誉辅助信息,蒋学斌2,巴西,失败：站点切换失败,2026-09-12 13:07:02
获取声誉辅助信息,蒋学斌2,墨西哥,失败：访问限频,2026-09-12 13:12:44
获取声誉辅助信息,聚财鼠,阿根廷,失败：站点切换失败,2026-09-12 13:04:14
获取声誉辅助信息,聚财鼠,巴西,失败：站点切换失败,2026-09-12 13:08:09
获取声誉辅助信息,聚财鼠,墨西哥,失败：访问限频,2026-09-12 13:12:45
获取声誉辅助信息,遥遥领先3号店,巴西,失败：登录失效,2026-09-12 13:18:44
获取声誉辅助信息,遥遥领先3号店,墨西哥,失败：登录失效,2026-09-12 13:18:46
获取声誉辅助信息,遥遥领先11号店,巴西,失败：访问限频,2026-09-12 13:12:54
获取声誉辅助信息,遥遥领先11号店,墨西哥,失败：站点切换失败,2026-09-12 13:21:17
获取声誉辅助信息,遥遥领先12号店,巴西,失败：访问限频,2026-09-12 13:13:06
获取声誉辅助信息,遥遥领先12号店,墨西哥,失败：站点切换失败,2026-09-12 13:21:18
获取声誉辅助信息,策马奔腾,阿根廷,失败：站点切换失败,2026-09-12 13:04:18
获取声誉辅助信息,策马奔腾,巴西,失败：站点切换失败,2026-09-12 13:08:16
获取声誉辅助信息,策马奔腾,智利,失败：访问限频,2026-09-12 13:12:43
获取声誉辅助信息,策马奔腾,墨西哥,失败：站点切换失败,2026-09-12 13:21:18
获取声誉辅助信息,遥遥领先10号店,巴西,失败：访问限频,2026-09-12 13:12:53
获取声誉辅助信息,遥遥领先10号店,墨西哥,失败：站点切换失败,2026-09-12 13:21:18
获取声誉辅助信息,遥遥领先13号店,巴西,失败：站点切换失败,2026-09-12 13:18:39
获取声誉辅助信息,遥遥领先13号店,墨西哥,失败：访问限频,2026-09-12 13:21:24
获取声誉辅助信息,遥遥领先5号店,巴西,失败：登录失效,2026-09-12 13:27:32
获取声誉辅助信息,遥遥领先5号店,墨西哥,失败：登录失效,2026-09-12 13:27:34
获取声誉辅助信息,郭兆亿4,巴西,失败：登录失效,2026-09-12 13:28:55
获取声誉辅助信息,郭兆亿4,墨西哥,失败：登录失效,2026-09-12 13:28:57
获取声誉辅助信息,虎,阿根廷,失败：访问限频,2026-09-12 13:13:00
获取声誉辅助信息,虎,巴西,失败：站点切换失败,2026-09-12 13:21:17
获取声誉辅助信息,虎,墨西哥,失败：站点切换失败,2026-09-12 13:28:58
获取声誉辅助信息,遥遥领先4号店,巴西,失败：访问限频,2026-09-12 13:22:25
获取声誉辅助信息,遥遥领先4号店,墨西哥,失败：站点切换失败,2026-09-12 13:30:17
获取声誉辅助信息,遥遥领先1号店,巴西,失败：站点切换失败,2026-09-12 13:21:39
获取声誉辅助信息,遥遥领先1号店,墨西哥,失败：站点切换失败,2026-09-12 13:30:20
获取声誉辅助信息,遥遥领先14号店,巴西,失败：站点切换失败,2026-09-12 13:21:29
获取声誉辅助信息,遥遥领先14号店,墨西哥,失败：站点切换失败,2026-09-12 13:30:20
获取声誉辅助信息,遥遥领先2号店,巴西,失败：站点切换失败,2026-09-12 13:21:33
获取声誉辅助信息,遥遥领先2号店,墨西哥,失败：站点切换失败,2026-09-12 13:30:21
获取声誉辅助信息,钱程似锦2,阿根廷,失败：登录失效,2026-09-12 13:35:45
获取声誉辅助信息,钱程似锦2,巴西,失败：登录失效,2026-09-12 13:35:47
获取声誉辅助信息,钱程似锦2,墨西哥,失败：登录失效,2026-09-12 13:35:47
获取声誉辅助信息,遥遥领先7号店,巴西,失败：站点切换失败,2026-09-12 13:30:17
获取声誉辅助信息,遥遥领先7号店,墨西哥,失败：站点切换失败,2026-09-12 13:37:57
获取声誉辅助信息,遥遥领先6号店,巴西,失败：站点切换失败,2026-09-12 13:30:20
获取声誉辅助信息,遥遥领先6号店,墨西哥,失败：站点切换失败,2026-09-12 13:38:00
