任务类型,店铺名,站点,状态,记录时间
获取声誉信息,腾,墨西哥,失败：登录失效,2026-08-05 02:32:15
获取声誉信息,腾,阿根廷,失败：登录失效,2026-08-05 02:32:25
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-05 02:32:06
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-05 02:32:16
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-05 02:35:34
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-05 02:35:44
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-05 02:41:49
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-05 02:41:59
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-05 02:41:59
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-05 02:56:15
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-05 02:56:15
