任务类型,店铺名,站点,状态,记录时间
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-10 14:37:00
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-10 14:37:10
获取声誉信息,腾,墨西哥,失败：登录失效,2026-08-10 14:37:29
获取声誉信息,腾,阿根廷,失败：登录失效,2026-08-10 14:37:39
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-10 14:37:55
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-10 14:38:05
获取声誉信息,健步如飞,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-10 15:22:38
获取声誉信息,健步如飞,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-10 15:22:38
获取声誉信息,健步如飞,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-10 15:22:38
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-10 14:39:09
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-10 14:39:19
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-10 14:39:19
获取声誉信息,招财猫,墨西哥,失败：登录失效,2026-08-10 14:39:25
获取声誉信息,招财猫,巴西,失败：登录失效,2026-08-10 14:39:35
获取声誉信息,招财猫,阿根廷,失败：登录失效,2026-08-10 14:39:35
获取声誉信息,飞黄腾达3,墨西哥,失败：登录失效,2026-08-10 14:39:56
获取声誉信息,飞黄腾达3,巴西,失败：登录失效,2026-08-10 14:40:06
获取声誉信息,飞黄腾达3,阿根廷,失败：登录失效,2026-08-10 14:40:06
获取声誉信息,龙凤呈祥,墨西哥,失败：登录失效,2026-08-10 14:40:36
获取声誉信息,龙凤呈祥,巴西,失败：登录失效,2026-08-10 14:40:46
获取声誉信息,龙凤呈祥,阿根廷,失败：登录失效,2026-08-10 14:40:46
获取声誉信息,钱程似锦5,墨西哥,失败：登录失效,2026-08-10 14:40:54
获取声誉信息,钱程似锦5,巴西,失败：登录失效,2026-08-10 14:41:04
获取声誉信息,高人一等,墨西哥,失败：登录失效,2026-08-10 14:42:35
获取声誉信息,高人一等,巴西,失败：登录失效,2026-08-10 14:42:45
获取声誉信息,高人一等,阿根廷,失败：登录失效,2026-08-10 14:42:45
获取声誉信息,虎虎生威（fti）,墨西哥,失败：登录失效,2026-08-10 14:43:11
获取声誉信息,虎虎生威（fti）,巴西,失败：登录失效,2026-08-10 14:43:21
获取声誉信息,虎虎生威（fti）,智利,失败：登录失效,2026-08-10 14:43:21
获取声誉信息,虎虎生威（fti）,阿根廷,失败：登录失效,2026-08-10 14:43:21
获取声誉信息,虎虎生威（fti）,乌拉圭,失败：登录失效,2026-08-10 14:43:21
获取声誉信息,虎虎生威（fti）,哥伦比亚,失败：登录失效,2026-08-10 14:43:21
获取声誉信息,金光闪闪,墨西哥,失败：登录失效,2026-08-10 14:44:24
获取声誉信息,金光闪闪,巴西,失败：登录失效,2026-08-10 14:44:34
获取声誉信息,金光闪闪,阿根廷,失败：登录失效,2026-08-10 14:44:34
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-10 14:44:51
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-10 14:44:51
获取声誉信息,功成名就,墨西哥,失败：登录失效,2026-08-10 14:45:03
获取声誉信息,功成名就,巴西,失败：登录失效,2026-08-10 14:45:13
获取声誉信息,功成名就,阿根廷,失败：登录失效,2026-08-10 14:45:13
获取声誉信息,顺风顺水(fti),墨西哥,失败：登录失效,2026-08-10 14:46:21
获取声誉信息,顺风顺水(fti),巴西,失败：登录失效,2026-08-10 14:46:31
获取声誉信息,顺风顺水(fti),智利,失败：登录失效,2026-08-10 14:46:31
获取声誉信息,顺风顺水(fti),阿根廷,失败：登录失效,2026-08-10 14:46:31
获取声誉信息,顺风顺水(fti),乌拉圭,失败：登录失效,2026-08-10 14:46:31
获取声誉信息,顺风顺水(fti),哥伦比亚,失败：登录失效,2026-08-10 14:46:31
