任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,向华章3,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号192，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-11 00:23:52
获取声誉辅助信息,向华章3,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号192，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-11 00:23:52
获取声誉辅助信息,向华章3,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号192，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-11 00:23:52
获取声誉辅助信息,向子立5,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-11 00:24:44
获取声誉辅助信息,向子立5,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-11 00:24:44
获取声誉辅助信息,向子立5,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-11 00:24:44
获取声誉辅助信息,向华章4,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号193，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-11 00:24:01
获取声誉辅助信息,向华章4,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号193，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-11 00:24:01
获取声誉辅助信息,向华章4,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号193，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-11 00:24:01
获取声誉辅助信息,七星高照,阿根廷,失败：登录失效,2026-09-11 00:22:21
