任务类型,店铺名,站点,状态,记录时间
获取侵权信息,健步如飞,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 21:38:12
获取侵权信息,健步如飞,巴西,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 21:38:12
获取侵权信息,健步如飞,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 21:38:12
获取侵权信息,春暖花开,巴西,失败：登录失效,2026-08-11 21:06:00
获取侵权信息,春暖花开,阿根廷,失败：登录失效,2026-08-11 21:06:00
获取侵权信息,大展宏图,墨西哥,失败：登录失效,2026-08-11 21:05:37
获取侵权信息,大展宏图,巴西,失败：登录失效,2026-08-11 21:05:37
获取侵权信息,大展宏图,阿根廷,失败：登录失效,2026-08-11 21:05:37
获取侵权信息,腾,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 21:38:19
获取侵权信息,腾,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 21:38:19
获取侵权信息,马到成功,墨西哥,失败：登录失效,2026-08-11 21:05:49
获取侵权信息,马到成功,阿根廷,失败：登录失效,2026-08-11 21:05:49
获取侵权信息,飞黄腾达3,墨西哥,失败：登录失效,2026-08-11 21:07:48
获取侵权信息,飞黄腾达3,巴西,失败：登录失效,2026-08-11 21:07:48
获取侵权信息,飞黄腾达3,阿根廷,失败：登录失效,2026-08-11 21:07:48
获取侵权信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-11 21:09:04
获取侵权信息,钱程似锦2,巴西,失败：登录失效,2026-08-11 21:09:04
获取侵权信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-11 21:09:04
获取侵权信息,龙凤呈祥,墨西哥,失败：登录失效,2026-08-11 21:10:34
获取侵权信息,龙凤呈祥,巴西,失败：登录失效,2026-08-11 21:10:34
获取侵权信息,龙凤呈祥,阿根廷,失败：登录失效,2026-08-11 21:10:34
获取侵权信息,梁山好汉666,墨西哥,失败：登录失效,2026-08-11 21:11:26
获取侵权信息,梁山好汉666,巴西,失败：登录失效,2026-08-11 21:11:26
获取侵权信息,高人一等,墨西哥,失败：登录失效,2026-08-11 21:14:00
获取侵权信息,高人一等,巴西,失败：登录失效,2026-08-11 21:14:00
获取侵权信息,高人一等,阿根廷,失败：登录失效,2026-08-11 21:14:00
获取侵权信息,功成名就,墨西哥,失败：登录失效,2026-08-11 21:14:27
获取侵权信息,功成名就,巴西,失败：登录失效,2026-08-11 21:14:27
获取侵权信息,功成名就,阿根廷,失败：登录失效,2026-08-11 21:14:27
获取侵权信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-11 21:15:08
获取侵权信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-11 21:15:08
获取侵权信息,金光闪闪,墨西哥,失败：登录失效,2026-08-11 21:14:39
获取侵权信息,金光闪闪,巴西,失败：登录失效,2026-08-11 21:14:39
获取侵权信息,金光闪闪,阿根廷,失败：登录失效,2026-08-11 21:14:39
