任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,龙,墨西哥,失败：登录失效,2026-08-30 18:09:34
获取声誉辅助信息,龙,阿根廷,失败：登录失效,2026-08-30 18:09:36
获取声誉辅助信息,大展宏图,墨西哥,"失败：大展宏图 打开美客多业务页失败：Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessio",2026-08-30 18:12:51
获取声誉辅助信息,大展宏图,巴西,"失败：大展宏图 打开美客多业务页失败：Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessio",2026-08-30 18:13:12
获取声誉辅助信息,大展宏图,阿根廷,"失败：大展宏图 打开美客多业务页失败：Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessio",2026-08-30 18:13:33
获取声誉辅助信息,一跃千里,阿根廷,部分失败：流量页面结构不匹配,2026-08-30 18:13:36
获取声誉辅助信息,马到成功,阿根廷,失败：站点切换失败,2026-08-30 18:17:23
获取声誉辅助信息,招财猫,墨西哥,失败：登录失效,2026-08-30 18:18:10
获取声誉辅助信息,招财猫,巴西,失败：登录失效,2026-08-30 18:18:12
获取声誉辅助信息,招财猫,阿根廷,失败：登录失效,2026-08-30 18:18:12
获取声誉辅助信息,杨雨萌10,墨西哥,失败：站点切换失败,2026-08-30 18:33:15
获取声誉辅助信息,杨雨萌10,巴西,失败：站点切换失败,2026-08-30 18:37:07
获取声誉辅助信息,杨雨萌11,墨西哥,失败：站点切换失败,2026-08-30 18:33:56
获取声誉辅助信息,杨雨萌11,巴西,失败：站点切换失败,2026-08-30 18:37:52
获取声誉辅助信息,五福临门,阿根廷,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,五福临门,墨西哥,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,五福临门,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,vngbjkk,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,vngbjkk,阿根廷,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,vngbjkk,巴西,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,vngbjkk,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞1,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞1,阿根廷,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞1,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞1,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,七星高照,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,七星高照,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,七星高照,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,一跃千里,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,一跃千里,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,一跃千里,墨西哥,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,一跃千里,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,光彩夺目,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,光彩夺目,阿根廷,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,光彩夺目,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,光彩夺目,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞2,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞2,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞2,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,八方来财,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,八方来财,阿根廷,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,八方来财,巴西,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,八方来财,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,八方来财,墨西哥,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,健步如飞,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,功成名就fti,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,功成名就fti,阿根廷,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,功成名就fti,巴西,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,功成名就fti,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,功成名就fti,墨西哥,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,功成名就fti,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,六六大顺,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,六六大顺,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,六六大顺,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章1,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章1,阿根廷,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章1,巴西,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章1,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章1,墨西哥,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章1,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章2,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章2,阿根廷,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章2,巴西,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章2,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章2,墨西哥,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章2,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章5,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章5,阿根廷,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章5,巴西,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章5,智利,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章5,墨西哥,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章5,乌拉圭,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
获取声誉辅助信息,向华章4,哥伦比亚,失败：未找到匹配的浏览器店铺/站点配置,2026-08-30 18:37:54
