任务类型,店铺名,站点,状态,记录时间
获取声誉信息,策马奔腾,墨西哥,失败：登录失效,2026-07-28 14:19:21
获取声誉信息,策马奔腾,阿根廷,失败：登录失效,2026-07-28 14:19:31
获取声誉信息,六六大顺,墨西哥,失败：登录失效,2026-07-28 14:18:28
获取声誉信息,六六大顺,巴西,失败：登录失效,2026-07-28 14:18:38
获取声誉信息,六六大顺,阿根廷,失败：登录失效,2026-07-28 14:18:38
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-07-28 14:20:39
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-07-28 14:20:49
获取声誉信息,钱途无量,墨西哥,失败：登录失效,2026-07-28 14:21:51
获取声誉信息,钱途无量,巴西,失败：登录失效,2026-07-28 14:22:01
获取声誉信息,钱途无量,阿根廷,失败：登录失效,2026-07-28 14:22:01
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-07-28 14:28:29
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-07-28 14:28:39
获取声誉信息,钱程似锦5,墨西哥,失败：登录失效,2026-07-28 14:54:38
获取声誉信息,钱程似锦5,巴西,失败：登录失效,2026-07-28 14:54:48
获取声誉信息,梁山好汉111,墨西哥,失败：登录失效,2026-07-28 15:03:49
获取声誉信息,梁山好汉111,巴西,失败：登录失效,2026-07-28 15:03:59
获取声誉信息,梁山好汉222,墨西哥,失败：登录失效,2026-07-28 15:04:19
获取声誉信息,梁山好汉222,巴西,失败：登录失效,2026-07-28 15:04:29
获取声誉信息,梁山好汉666,墨西哥,失败：登录失效,2026-07-28 15:05:08
获取声誉信息,梁山好汉666,巴西,失败：登录失效,2026-07-28 15:05:18
获取声誉信息,光彩夺目,墨西哥,失败：登录失效,2026-07-28 15:06:39
获取声誉信息,光彩夺目,巴西,失败：登录失效,2026-07-28 15:06:49
获取声誉信息,虎虎生威（fti）,乌拉圭,"失败：虎虎生威（fti） 打开美客多业务页失败：HTTPConnectionPool(host='localhost', port=64333): Max retries exceeded with url: /session/860eb35d0aa22f0f65daf562b2024531/url (Caused by NewConnectionError",2026-07-28 17:14:46
获取声誉信息,虎虎生威（fti）,哥伦比亚,"失败：虎虎生威（fti） 打开美客多业务页失败：HTTPConnectionPool(host='localhost', port=64333): Max retries exceeded with url: /session/860eb35d0aa22f0f65daf562b2024531/url (Caused by NewConnectionError",2026-07-28 17:15:36
获取声誉信息,健步如飞（fti）,墨西哥,失败：登录失效,2026-07-28 15:16:05
获取声誉信息,健步如飞（fti）,巴西,失败：登录失效,2026-07-28 15:16:15
获取声誉信息,健步如飞（fti）,智利,失败：登录失效,2026-07-28 15:16:15
获取声誉信息,健步如飞（fti）,阿根廷,失败：登录失效,2026-07-28 15:16:15
获取声誉信息,健步如飞（fti）,乌拉圭,失败：登录失效,2026-07-28 15:16:15
获取声誉信息,健步如飞（fti）,哥伦比亚,失败：登录失效,2026-07-28 15:16:15
获取声誉信息,金光闪闪,墨西哥,失败：登录失效,2026-07-28 15:18:51
获取声誉信息,金光闪闪,巴西,失败：登录失效,2026-07-28 15:19:01
获取声誉信息,金光闪闪,阿根廷,失败：登录失效,2026-07-28 15:19:01
获取声誉信息,功成名就,墨西哥,失败：登录失效,2026-07-28 15:20:33
获取声誉信息,功成名就,巴西,失败：登录失效,2026-07-28 15:20:43
获取声誉信息,功成名就,阿根廷,失败：登录失效,2026-07-28 15:20:43
获取声誉信息,聚财鼠,墨西哥,失败：登录失效,2026-07-28 15:28:14
获取声誉信息,聚财鼠,巴西,失败：登录失效,2026-07-28 15:28:24
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-07-28 15:29:31
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-07-28 15:29:31
获取声誉信息,杨雨萌9,墨西哥,失败：登录失效,2026-07-28 15:46:14
获取声誉信息,杨雨萌9,巴西,失败：登录失效,2026-07-28 15:46:24
