任务类型,店铺名,站点,状态,记录时间
获取声誉信息,健步如飞,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 03:17:32
获取声誉信息,健步如飞,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 03:17:32
获取声誉信息,健步如飞,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 03:17:32
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-11 02:25:00
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-11 02:25:10
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-11 02:25:10
获取声誉信息,健步如飞2,墨西哥,失败：登录失效,2026-08-11 02:22:28
获取声誉信息,健步如飞2,巴西,失败：登录失效,2026-08-11 02:22:38
获取声誉信息,健步如飞2,阿根廷,失败：登录失效,2026-08-11 02:22:38
获取声誉信息,钱途无量,墨西哥,失败：登录失效,2026-08-11 02:21:00
获取声誉信息,钱途无量,巴西,失败：登录失效,2026-08-11 02:21:10
获取声誉信息,钱途无量,阿根廷,失败：登录失效,2026-08-11 02:21:10
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-11 02:21:44
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-11 02:21:54
获取声誉信息,飞黄腾达3,墨西哥,失败：登录失效,2026-08-11 02:23:12
获取声誉信息,飞黄腾达3,巴西,失败：登录失效,2026-08-11 02:23:22
获取声誉信息,飞黄腾达3,阿根廷,失败：登录失效,2026-08-11 02:23:22
获取声誉信息,龙马精神,墨西哥,失败：登录失效,2026-08-11 02:26:19
获取声誉信息,龙马精神,巴西,失败：登录失效,2026-08-11 02:26:29
获取声誉信息,龙马精神,阿根廷,失败：登录失效,2026-08-11 02:26:29
获取声誉信息,跃马扬鞭,墨西哥,失败：登录失效,2026-08-11 02:21:31
获取声誉信息,跃马扬鞭,巴西,失败：登录失效,2026-08-11 02:21:41
获取声誉信息,跃马扬鞭,智利,失败：登录失效,2026-08-11 02:21:41
获取声誉信息,跃马扬鞭,阿根廷,失败：登录失效,2026-08-11 02:21:41
获取声誉信息,跃马扬鞭,乌拉圭,失败：登录失效,2026-08-11 02:21:41
获取声誉信息,飞黄腾达5,墨西哥,失败：登录失效,2026-08-11 02:23:25
获取声誉信息,飞黄腾达5,巴西,失败：登录失效,2026-08-11 02:23:35
获取声誉信息,飞黄腾达5,阿根廷,失败：登录失效,2026-08-11 02:23:35
获取声誉信息,健步如飞1,墨西哥,失败：登录失效,2026-08-11 02:22:13
获取声誉信息,健步如飞1,巴西,失败：登录失效,2026-08-11 02:22:23
获取声誉信息,招财猫,墨西哥,失败：登录失效,2026-08-11 02:23:50
获取声誉信息,招财猫,巴西,失败：登录失效,2026-08-11 02:24:00
获取声誉信息,招财猫,阿根廷,失败：登录失效,2026-08-11 02:24:00
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-11 02:20:55
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-11 02:21:05
获取声誉信息,钱程似锦5,墨西哥,失败：登录失效,2026-08-11 02:25:42
获取声誉信息,钱程似锦5,巴西,失败：登录失效,2026-08-11 02:25:52
获取声誉信息,六六大顺,墨西哥,失败：登录失效,2026-08-11 02:20:32
获取声誉信息,六六大顺,巴西,失败：登录失效,2026-08-11 02:20:42
获取声誉信息,六六大顺,阿根廷,失败：登录失效,2026-08-11 02:20:42
获取声誉信息,腾,墨西哥,失败：登录失效,2026-08-11 02:20:21
获取声誉信息,腾,阿根廷,失败：登录失效,2026-08-11 02:20:31
获取声誉信息,龙凤呈祥,墨西哥,失败：登录失效,2026-08-11 02:27:05
获取声誉信息,龙凤呈祥,巴西,失败：登录失效,2026-08-11 02:27:15
获取声誉信息,龙凤呈祥,阿根廷,失败：登录失效,2026-08-11 02:27:15
获取声誉信息,杨柳依依2,巴西,失败：登录失效,2026-08-11 02:24:17
获取声誉信息,杨柳依依2,阿根廷,失败：登录失效,2026-08-11 02:24:27
获取声誉信息,梁山好汉222,墨西哥,失败：登录失效,2026-08-11 02:27:49
获取声誉信息,梁山好汉222,巴西,失败：登录失效,2026-08-11 02:27:59
获取声誉信息,梁山好汉666,墨西哥,失败：登录失效,2026-08-11 02:28:15
获取声誉信息,梁山好汉666,巴西,失败：登录失效,2026-08-11 02:28:25
获取声誉信息,高人一等,墨西哥,失败：登录失效,2026-08-11 02:32:32
获取声誉信息,高人一等,巴西,失败：登录失效,2026-08-11 02:32:42
