任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,vngbjkk,阿根廷,失败：登录失效,2026-09-03 16:11:22
获取声誉辅助信息,vngbjkk,巴西,失败：登录失效,2026-09-03 16:11:24
获取声誉辅助信息,vngbjkk,墨西哥,失败：登录失效,2026-09-03 16:11:24
获取声誉辅助信息,一跃千里,阿根廷,失败：登录失效,2026-09-03 16:11:18
获取声誉辅助信息,一跃千里,巴西,失败：登录失效,2026-09-03 16:11:20
获取声誉辅助信息,一跃千里,墨西哥,失败：登录失效,2026-09-03 16:11:20
获取声誉辅助信息,五福临门,阿根廷,失败：页面结构不匹配,2026-09-03 16:12:59
获取声誉辅助信息,五福临门,墨西哥,失败：站点切换失败,2026-09-03 16:14:16
获取声誉辅助信息,健步如飞1,阿根廷,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-09-03 16:13:51
获取声誉辅助信息,健步如飞1,巴西,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-09-03 16:13:51
获取声誉辅助信息,健步如飞1,墨西哥,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-09-03 16:13:51
获取声誉辅助信息,健步如飞,阿根廷,失败：登录失效,2026-09-03 16:16:00
获取声誉辅助信息,健步如飞,巴西,失败：登录失效,2026-09-03 16:16:02
获取声誉辅助信息,健步如飞,墨西哥,失败：登录失效,2026-09-03 16:16:02
获取声誉辅助信息,向子立4,阿根廷,失败：登录失效,2026-09-03 16:19:20
获取声誉辅助信息,向子立4,巴西,失败：登录失效,2026-09-03 16:19:22
获取声誉辅助信息,向子立4,墨西哥,失败：登录失效,2026-09-03 16:19:22
获取声誉辅助信息,健步如飞2,阿根廷,失败：登录失效,2026-09-03 16:13:10
获取声誉辅助信息,健步如飞2,巴西,失败：登录失效,2026-09-03 16:13:12
获取声誉辅助信息,健步如飞2,墨西哥,失败：登录失效,2026-09-03 16:13:12
获取声誉辅助信息,六六大顺,阿根廷,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-09-03 16:14:22
