任务类型,店铺名,站点,状态,记录时间
获取侵权信息,春暖花开,巴西,失败：登录失效,2026-08-05 02:06:57
获取侵权信息,春暖花开,阿根廷,失败：登录失效,2026-08-05 02:06:57
获取侵权信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-05 02:10:06
获取侵权信息,钱程似锦2,巴西,失败：登录失效,2026-08-05 02:10:06
获取侵权信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-05 02:10:06
获取侵权信息,马到成功,墨西哥,失败：登录失效,2026-08-05 02:07:36
获取侵权信息,马到成功,阿根廷,失败：登录失效,2026-08-05 02:07:36
获取侵权信息,腾,墨西哥,失败：登录失效,2026-08-05 02:06:17
获取侵权信息,腾,阿根廷,失败：登录失效,2026-08-05 02:06:17
获取侵权信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-05 02:15:42
获取侵权信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-05 02:15:42
