任务类型,店铺名,站点,状态,记录时间
获取声誉信息,大展宏图,墨西哥,失败：登录失效,2026-08-11 21:46:30
获取声誉信息,大展宏图,巴西,失败：登录失效,2026-08-11 21:46:40
获取声誉信息,大展宏图,阿根廷,失败：登录失效,2026-08-11 21:46:40
获取声誉信息,健步如飞,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 22:33:14
获取声誉信息,健步如飞,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 22:33:14
获取声誉信息,健步如飞,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 22:33:14
获取声誉信息,腾,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 22:33:23
获取声誉信息,腾,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-11 22:33:23
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-11 21:45:41
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-11 21:45:51
获取声誉信息,飞黄腾达3,墨西哥,失败：登录失效,2026-08-11 21:50:11
获取声誉信息,飞黄腾达3,巴西,失败：登录失效,2026-08-11 21:50:21
获取声誉信息,飞黄腾达3,阿根廷,失败：登录失效,2026-08-11 21:50:21
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-11 21:47:00
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-11 21:47:10
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-11 21:51:53
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-11 21:52:03
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-11 21:52:03
获取声誉信息,龙凤呈祥,墨西哥,失败：登录失效,2026-08-11 21:54:46
获取声誉信息,龙凤呈祥,巴西,失败：登录失效,2026-08-11 21:54:56
获取声誉信息,龙凤呈祥,阿根廷,失败：登录失效,2026-08-11 21:54:56
获取声誉信息,梁山好汉666,墨西哥,失败：登录失效,2026-08-11 21:56:12
获取声誉信息,梁山好汉666,巴西,失败：登录失效,2026-08-11 21:56:22
获取声誉信息,高人一等,墨西哥,失败：登录失效,2026-08-11 22:01:12
获取声誉信息,高人一等,巴西,失败：登录失效,2026-08-11 22:01:22
获取声誉信息,高人一等,阿根廷,失败：登录失效,2026-08-11 22:01:22
获取声誉信息,金光闪闪,墨西哥,失败：登录失效,2026-08-11 22:01:23
获取声誉信息,金光闪闪,巴西,失败：登录失效,2026-08-11 22:01:33
获取声誉信息,金光闪闪,阿根廷,失败：登录失效,2026-08-11 22:01:33
获取声誉信息,功成名就,墨西哥,失败：登录失效,2026-08-11 22:01:30
获取声誉信息,功成名就,巴西,失败：登录失效,2026-08-11 22:01:40
获取声誉信息,功成名就,阿根廷,失败：登录失效,2026-08-11 22:01:40
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-11 22:02:04
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-11 22:02:04
