任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,向华章1,阿根廷,失败：登录失效,2026-09-09 12:08:02
获取声誉辅助信息,向华章1,巴西,失败：登录失效,2026-09-09 12:08:04
获取声誉辅助信息,向华章1,墨西哥,失败：登录失效,2026-09-09 12:08:04
获取声誉辅助信息,健步如飞,阿根廷,失败：登录失效,2026-09-09 12:07:37
获取声誉辅助信息,健步如飞,巴西,失败：登录失效,2026-09-09 12:07:39
获取声誉辅助信息,健步如飞,墨西哥,失败：登录失效,2026-09-09 12:07:39
获取声誉辅助信息,张健6,阿根廷,失败：站点切换失败,2026-09-09 12:12:32
获取声誉辅助信息,张健6,巴西,失败：站点切换失败,2026-09-09 12:13:39
获取声誉辅助信息,健步如飞1,阿根廷,失败：站点切换失败,2026-09-09 12:08:25
获取声誉辅助信息,健步如飞1,墨西哥,失败：站点切换失败,2026-09-09 12:09:56
获取声誉辅助信息,向华章5,阿根廷,失败：站点切换失败,2026-09-09 12:09:15
获取声誉辅助信息,向华章5,巴西,失败：站点切换失败,2026-09-09 12:10:23
获取声誉辅助信息,向华章5,墨西哥,失败：站点切换失败,2026-09-09 12:11:31
获取声誉辅助信息,七星高照,阿根廷,失败：登录失效,2026-09-09 12:07:24
获取声誉辅助信息,七星高照,巴西,失败：登录失效,2026-09-09 12:07:26
获取声誉辅助信息,七星高照,墨西哥,失败：登录失效,2026-09-09 12:07:26
获取声誉辅助信息,向子立4,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-09 12:09:19
获取声誉辅助信息,向子立4,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-09 12:09:19
获取声誉辅助信息,向子立4,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号156，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-09 12:09:19
获取声誉辅助信息,向子立5,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-09 12:09:27
获取声誉辅助信息,向子立5,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-09 12:09:27
获取声誉辅助信息,向子立5,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号174，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-09 12:09:27
获取声誉辅助信息,向华章4,阿根廷,失败：站点切换失败,2026-09-09 12:09:14
获取声誉辅助信息,向华章4,巴西,失败：站点切换失败,2026-09-09 12:10:22
