任务类型,店铺名,站点,状态,记录时间
获取侵权信息,策马奔腾,墨西哥,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-07-29 22:56:26
获取侵权信息,策马奔腾,阿根廷,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-07-29 22:56:26
获取侵权信息,龙,墨西哥,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-07-29 22:56:41
获取侵权信息,龙,阿根廷,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-07-29 22:56:41
获取侵权信息,大展宏图,墨西哥,失败：登录失效,2026-07-29 21:53:37
获取侵权信息,大展宏图,巴西,失败：登录失效,2026-07-29 21:53:37
获取侵权信息,大展宏图,阿根廷,失败：登录失效,2026-07-29 21:53:37
获取侵权信息,钱程似锦5,墨西哥,失败：登录失效,2026-07-29 22:38:48
获取侵权信息,钱程似锦5,巴西,失败：登录失效,2026-07-29 22:38:48
获取侵权信息,流光溢彩,墨西哥,失败：登录失效,2026-07-29 22:05:40
获取侵权信息,流光溢彩,巴西,失败：登录失效,2026-07-29 22:05:40
获取侵权信息,龙吟虎啸,墨西哥,失败：登录失效,2026-07-29 22:05:59
获取侵权信息,龙吟虎啸,巴西,失败：登录失效,2026-07-29 22:05:59
获取侵权信息,龙吟虎啸,阿根廷,失败：登录失效,2026-07-29 22:05:59
获取侵权信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-07-29 22:14:18
获取侵权信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-07-29 22:14:18
获取侵权信息,顺风顺水(fti),墨西哥,失败：登录失效,2026-07-29 22:41:04
获取侵权信息,顺风顺水(fti),巴西,失败：登录失效,2026-07-29 22:41:04
获取侵权信息,顺风顺水(fti),智利,失败：登录失效,2026-07-29 22:41:04
获取侵权信息,顺风顺水(fti),阿根廷,失败：登录失效,2026-07-29 22:41:04
获取侵权信息,顺风顺水(fti),乌拉圭,失败：登录失效,2026-07-29 22:41:04
获取侵权信息,顺风顺水(fti),哥伦比亚,失败：登录失效,2026-07-29 22:41:04
