任务类型,店铺名,站点,状态,记录时间
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-12 23:55:19
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-12 23:55:29
获取声誉信息,龙,墨西哥,失败：登录失效,2026-08-12 23:53:37
获取声誉信息,龙,阿根廷,失败：登录失效,2026-08-12 23:53:47
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-12 23:54:59
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-12 23:55:09
获取声誉信息,健步如飞,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-13 01:48:25
获取声誉信息,健步如飞,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-13 01:48:25
获取声誉信息,健步如飞,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-13 01:48:25
获取声誉信息,腾,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-13 01:48:31
获取声誉信息,腾,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-13 01:48:31
获取声誉信息,四季如春,墨西哥,失败：登录失效,2026-08-12 23:53:54
获取声誉信息,四季如春,巴西,失败：登录失效,2026-08-12 23:54:04
获取声誉信息,四季如春,阿根廷,失败：登录失效,2026-08-12 23:54:04
获取声誉信息,飞黄腾达3,墨西哥,失败：登录失效,2026-08-12 23:58:59
获取声誉信息,飞黄腾达3,巴西,失败：登录失效,2026-08-12 23:59:09
获取声誉信息,飞黄腾达3,阿根廷,失败：登录失效,2026-08-12 23:59:09
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-13 00:02:30
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-13 00:02:40
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-13 00:02:40
获取声誉信息,龙凤呈祥,墨西哥,失败：登录失效,2026-08-13 00:04:53
获取声誉信息,龙凤呈祥,巴西,失败：登录失效,2026-08-13 00:05:03
获取声誉信息,龙凤呈祥,阿根廷,失败：登录失效,2026-08-13 00:05:03
获取声誉信息,虎虎生威（fti）,墨西哥,失败：登录失效,2026-08-13 00:09:14
获取声誉信息,虎虎生威（fti）,巴西,失败：登录失效,2026-08-13 00:09:24
获取声誉信息,虎虎生威（fti）,智利,失败：登录失效,2026-08-13 00:09:24
获取声誉信息,虎虎生威（fti）,阿根廷,失败：登录失效,2026-08-13 00:09:24
获取声誉信息,虎虎生威（fti）,乌拉圭,失败：登录失效,2026-08-13 00:09:24
获取声誉信息,虎虎生威（fti）,哥伦比亚,失败：登录失效,2026-08-13 00:09:24
获取声誉信息,高人一等,墨西哥,失败：登录失效,2026-08-13 00:11:41
获取声誉信息,高人一等,巴西,失败：登录失效,2026-08-13 00:11:51
获取声誉信息,高人一等,阿根廷,失败：登录失效,2026-08-13 00:11:51
获取声誉信息,金光闪闪,墨西哥,失败：登录失效,2026-08-13 00:13:14
获取声誉信息,金光闪闪,巴西,失败：登录失效,2026-08-13 00:13:24
获取声誉信息,金光闪闪,阿根廷,失败：登录失效,2026-08-13 00:13:24
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-13 00:13:43
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-13 00:13:43
