任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,yym cs,阿根廷,失败：登录失效,2026-09-25 01:48:28
获取声誉辅助信息,yym cs,巴西,失败：登录失效,2026-09-25 01:48:30
获取声誉辅助信息,yym cs,智利,失败：登录失效,2026-09-25 01:48:30
获取声誉辅助信息,yym cs,墨西哥,失败：登录失效,2026-09-25 01:48:30
获取声誉辅助信息,刘威豪1,阿根廷,失败：登录失效,2026-09-25 01:51:49
获取声誉辅助信息,刘威豪1,巴西,失败：登录失效,2026-09-25 01:56:23
获取声誉辅助信息,刘威豪1,墨西哥,失败：登录失效,2026-09-25 01:56:23
获取声誉辅助信息,cs,巴西,失败：登录失效,2026-09-25 01:48:31
获取声誉辅助信息,cs,墨西哥,失败：登录失效,2026-09-25 01:48:33
获取声誉辅助信息,向华章5,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '打开窗口失败，请尝试降低接口请求频率重试'}",2026-09-25 01:59:59
获取声誉辅助信息,向华章5,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '打开窗口失败，请尝试降低接口请求频率重试'}",2026-09-25 01:59:59
获取声誉辅助信息,向华章5,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '打开窗口失败，请尝试降低接口请求频率重试'}",2026-09-25 01:59:59
获取声誉辅助信息,向子立3,阿根廷,失败：登录失效,2026-09-25 02:05:28
获取声誉辅助信息,向子立3,巴西,失败：登录失效,2026-09-25 02:05:30
获取声誉辅助信息,向子立3,墨西哥,失败：登录失效,2026-09-25 02:05:30
获取声誉辅助信息,向子立5,墨西哥,"失败：向子立5 打开美客多业务页失败：Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessio",2026-09-25 02:12:24
获取声誉辅助信息,四季如春,巴西,失败：四季如春 打开美客多业务页失败：Message: invalid session id: session deleted as the browser has closed the connection from disconnected: not connected to DevTools (Session info: chrome=140.0.73,2026-09-25 02:12:16
获取声誉辅助信息,四季如春,墨西哥,"失败：四季如春 打开美客多业务页失败：Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessio",2026-09-25 02:12:37
获取声誉辅助信息,大展宏图,阿根廷,"失败：大展宏图 打开美客多业务页失败：Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessio",2026-09-25 02:12:32
获取声誉辅助信息,大展宏图,智利,"失败：大展宏图 打开美客多业务页失败：Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessio",2026-09-25 02:12:53
获取声誉辅助信息,孙董一郎2,阿根廷,失败：登录失效,2026-09-25 02:13:18
获取声誉辅助信息,孙董一郎2,巴西,失败：登录失效,2026-09-25 02:13:20
获取声誉辅助信息,孙董一郎2,墨西哥,失败：登录失效,2026-09-25 02:13:20
获取声誉辅助信息,孙董一郎3,阿根廷,失败：登录失效,2026-09-25 02:13:29
获取声誉辅助信息,孙董一郎3,巴西,失败：登录失效,2026-09-25 02:13:31
获取声誉辅助信息,孙董一郎3,墨西哥,失败：登录失效,2026-09-25 02:13:31
获取声誉辅助信息,孙董一郎4,阿根廷,失败：登录失效,2026-09-25 02:13:58
获取声誉辅助信息,孙董一郎4,巴西,失败：登录失效,2026-09-25 02:14:00
获取声誉辅助信息,孙董一郎4,墨西哥,失败：登录失效,2026-09-25 02:14:00
获取声誉辅助信息,张昕1,阿根廷,失败：登录失效,2026-09-25 02:15:27
获取声誉辅助信息,张昕1,巴西,失败：登录失效,2026-09-25 02:15:29
获取声誉辅助信息,张昕1,智利,失败：登录失效,2026-09-25 02:15:29
获取声誉辅助信息,张昕1,墨西哥,失败：登录失效,2026-09-25 02:15:29
获取声誉辅助信息,徐家强2,阿根廷,失败：登录失效,2026-09-25 02:15:51
获取声誉辅助信息,徐家强2,巴西,失败：登录失效,2026-09-25 02:15:53
获取声誉辅助信息,徐家强2,智利,失败：登录失效,2026-09-25 02:15:53
获取声誉辅助信息,徐家强2,墨西哥,失败：登录失效,2026-09-25 02:15:53
获取声誉辅助信息,徐家强3,阿根廷,失败：登录失效,2026-09-25 02:15:57
获取声誉辅助信息,徐家强3,巴西,失败：登录失效,2026-09-25 02:15:59
获取声誉辅助信息,徐家强3,智利,失败：登录失效,2026-09-25 02:15:59
获取声誉辅助信息,徐家强3,墨西哥,失败：登录失效,2026-09-25 02:15:59
获取声誉辅助信息,梁山好汉222,阿根廷,失败：登录失效,2026-09-25 02:37:32
获取声誉辅助信息,梁山好汉222,巴西,失败：登录失效,2026-09-25 02:37:34
获取声誉辅助信息,蓝海峰2,阿根廷,失败：登录失效,2026-09-25 02:53:44
获取声誉辅助信息,蓝海峰2,巴西,失败：登录失效,2026-09-25 02:53:46
获取声誉辅助信息,蓝海峰2,墨西哥,失败：登录失效,2026-09-25 02:53:46
获取声誉辅助信息,遥遥领先10号店,巴西,失败：登录失效,2026-09-25 02:54:39
获取声誉辅助信息,遥遥领先10号店,墨西哥,失败：登录失效,2026-09-25 02:54:41
获取声誉辅助信息,遥遥领先5号店,巴西,失败：登录失效,2026-09-25 03:02:26
获取声誉辅助信息,遥遥领先5号店,墨西哥,失败：登录失效,2026-09-25 03:02:28
获取声誉辅助信息,遥遥领先6号店,巴西,失败：登录失效,2026-09-25 03:02:36
获取声誉辅助信息,遥遥领先6号店,墨西哥,失败：登录失效,2026-09-25 03:02:38
获取声誉辅助信息,遥遥领先8号店,巴西,失败：登录失效,2026-09-25 03:02:57
获取声誉辅助信息,遥遥领先8号店,墨西哥,失败：登录失效,2026-09-25 03:02:59
