任务类型,店铺名,站点,状态,记录时间
获取声誉信息,策马奔腾,墨西哥,失败：登录失效,2026-07-28 20:51:11
获取声誉信息,策马奔腾,阿根廷,失败：登录失效,2026-07-28 20:51:21
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-07-28 20:52:02
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-07-28 20:52:12
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-07-28 20:57:20
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-07-28 20:57:30
获取声誉信息,钱程似锦5,墨西哥,失败：登录失效,2026-07-28 21:20:13
获取声誉信息,钱程似锦5,巴西,失败：登录失效,2026-07-28 21:20:23
获取声誉信息,健步如飞（fti）,墨西哥,失败：登录失效,2026-07-28 21:44:06
获取声誉信息,健步如飞（fti）,巴西,失败：登录失效,2026-07-28 21:44:16
获取声誉信息,健步如飞（fti）,智利,失败：登录失效,2026-07-28 21:44:16
获取声誉信息,健步如飞（fti）,阿根廷,失败：登录失效,2026-07-28 21:44:16
获取声誉信息,健步如飞（fti）,乌拉圭,失败：登录失效,2026-07-28 21:44:16
获取声誉信息,健步如飞（fti）,哥伦比亚,失败：登录失效,2026-07-28 21:44:16
获取声誉信息,金光闪闪,墨西哥,失败：登录失效,2026-07-28 21:45:55
获取声誉信息,金光闪闪,巴西,失败：登录失效,2026-07-28 21:46:05
获取声誉信息,金光闪闪,阿根廷,失败：登录失效,2026-07-28 21:46:05
获取声誉信息,聚财鼠,墨西哥,失败：登录失效,2026-07-28 21:55:27
获取声誉信息,聚财鼠,巴西,失败：登录失效,2026-07-28 21:55:37
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-07-28 21:57:12
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-07-28 21:57:12
获取声誉信息,顺风顺水(fti),墨西哥,失败：登录失效,2026-07-28 22:02:50
获取声誉信息,顺风顺水(fti),巴西,失败：登录失效,2026-07-28 22:03:00
获取声誉信息,顺风顺水(fti),智利,失败：登录失效,2026-07-28 22:03:00
获取声誉信息,顺风顺水(fti),阿根廷,失败：登录失效,2026-07-28 22:03:00
获取声誉信息,顺风顺水(fti),乌拉圭,失败：登录失效,2026-07-28 22:03:00
获取声誉信息,顺风顺水(fti),哥伦比亚,失败：登录失效,2026-07-28 22:03:00
