任务类型,店铺名,站点,状态,记录时间
获取声誉信息,钱程似锦2,墨西哥,失败：页面元素等待超时,2026-08-24 13:29:18
获取声誉信息,钱程似锦2,巴西,失败：页面元素等待超时,2026-08-24 13:29:18
获取声誉信息,钱程似锦2,阿根廷,失败：页面元素等待超时,2026-08-24 13:29:18
获取声誉信息,光彩夺目,墨西哥,失败：页面元素等待超时,2026-08-24 13:29:34
获取声誉信息,光彩夺目,巴西,失败：页面元素等待超时,2026-08-24 13:29:34
获取声誉信息,七星高照,墨西哥,失败：页面元素等待超时,2026-08-24 13:30:05
获取声誉信息,七星高照,巴西,失败：页面元素等待超时,2026-08-24 13:30:05
获取声誉信息,七星高照,阿根廷,失败：页面元素等待超时,2026-08-24 13:30:05
获取声誉信息,杨柳依依4,巴西,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-08-24 13:32:33
获取声誉信息,杨柳依依4,阿根廷,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-08-24 13:32:33
获取声誉信息,杨柳依依3,墨西哥,失败：页面元素等待超时,2026-08-24 13:29:50
获取声誉信息,杨柳依依3,巴西,失败：页面元素等待超时,2026-08-24 13:29:50
获取声誉信息,杨柳依依3,阿根廷,失败：页面元素等待超时,2026-08-24 13:29:50
获取声誉信息,策马奔腾,墨西哥,失败：页面元素等待超时,2026-08-24 13:30:21
获取声誉信息,策马奔腾,阿根廷,失败：页面元素等待超时,2026-08-24 13:30:21
获取声誉信息,梁山好汉222,墨西哥,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-08-24 13:32:52
获取声誉信息,梁山好汉222,巴西,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-08-24 13:32:52
获取声誉信息,一跃千里,巴西,失败：页面元素等待超时,2026-08-24 13:31:00
获取声誉信息,一跃千里,阿根廷,失败：页面元素等待超时,2026-08-24 13:31:00
获取声誉信息,龙吟虎啸,墨西哥,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-08-24 13:33:09
获取声誉信息,龙吟虎啸,巴西,失败：等待 BitBrowser open 接口并发槽位超时：180 秒,2026-08-24 13:33:09
