任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,张健6,阿根廷,失败：页面元素等待超时,2026-09-20 14:19:00
获取声誉辅助信息,张健6,巴西,失败：页面元素等待超时,2026-09-20 14:19:00
获取声誉辅助信息,张健6,墨西哥,失败：页面元素等待超时,2026-09-20 14:19:00
获取声誉辅助信息,孙董一郎3,阿根廷,失败：登录失效,2026-09-20 14:18:20
获取声誉辅助信息,孙董一郎3,巴西,失败：登录失效,2026-09-20 14:18:25
获取声誉辅助信息,孙董一郎3,墨西哥,失败：登录失效,2026-09-20 14:18:25
获取声誉辅助信息,yym cs,阿根廷,失败：登录失效,2026-09-20 14:08:45
获取声誉辅助信息,yym cs,巴西,失败：登录失效,2026-09-20 14:08:47
获取声誉辅助信息,yym cs,智利,失败：登录失效,2026-09-20 14:08:47
获取声誉辅助信息,yym cs,墨西哥,失败：登录失效,2026-09-20 14:08:47
获取声誉辅助信息,张健3,阿根廷,跳过：窗口被其他任务占用,2026-09-20 14:11:22
获取声誉辅助信息,张健3,巴西,跳过：窗口被其他任务占用,2026-09-20 14:11:22
获取声誉辅助信息,张健3,墨西哥,跳过：窗口被其他任务占用,2026-09-20 14:11:22
获取声誉辅助信息,cs,巴西,失败：登录失效,2026-09-20 14:09:48
获取声誉辅助信息,cs,墨西哥,失败：登录失效,2026-09-20 14:09:50
获取声誉辅助信息,徐家强3,阿根廷,跳过：窗口被其他任务占用,2026-09-20 14:16:23
获取声誉辅助信息,徐家强3,巴西,跳过：窗口被其他任务占用,2026-09-20 14:16:23
获取声誉辅助信息,徐家强3,智利,跳过：窗口被其他任务占用,2026-09-20 14:16:23
获取声誉辅助信息,徐家强3,墨西哥,跳过：窗口被其他任务占用,2026-09-20 14:16:23
获取声誉辅助信息,向子立3,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号121，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-20 14:12:18
获取声誉辅助信息,向子立3,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号121，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-20 14:12:18
获取声誉辅助信息,向子立3,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '窗口序号121，不允许多个账号同时打开，xiangzili888正在打开，如需同时打开请前往窗口编辑页面，进行多开设置！'}",2026-09-20 14:12:18
获取声誉辅助信息,向华章5,阿根廷,失败：登录失效,2026-09-20 14:11:26
获取声誉辅助信息,向华章5,巴西,失败：登录失效,2026-09-20 14:16:23
获取声誉辅助信息,向华章5,墨西哥,失败：登录失效,2026-09-20 14:16:23
获取声誉辅助信息,孙董一郎2,阿根廷,失败：登录失效,2026-09-20 14:20:00
获取声誉辅助信息,孙董一郎2,巴西,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,孙董一郎2,墨西哥,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,张昕1,阿根廷,失败：登录失效,2026-09-20 14:20:23
获取声誉辅助信息,张昕1,巴西,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,张昕1,智利,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,张昕1,墨西哥,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,杨柳依依1,阿根廷,跳过：窗口被其他任务占用,2026-09-20 14:24:38
获取声誉辅助信息,杨柳依依1,巴西,跳过：窗口被其他任务占用,2026-09-20 14:24:38
获取声誉辅助信息,杨柳依依1,墨西哥,跳过：窗口被其他任务占用,2026-09-20 14:24:38
获取声誉辅助信息,孙董一郎4,阿根廷,失败：登录失效,2026-09-20 14:20:00
获取声誉辅助信息,孙董一郎4,巴西,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,孙董一郎4,墨西哥,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,徐家强2,阿根廷,失败：登录失效,2026-09-20 14:20:25
获取声誉辅助信息,徐家强2,巴西,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,徐家强2,智利,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,徐家强2,墨西哥,失败：登录失效,2026-09-20 14:24:18
获取声誉辅助信息,杨雨萌11,阿根廷,跳过：窗口被其他任务占用,2026-09-20 14:24:41
获取声誉辅助信息,杨雨萌11,巴西,跳过：窗口被其他任务占用,2026-09-20 14:24:41
获取声誉辅助信息,杨雨萌11,墨西哥,跳过：窗口被其他任务占用,2026-09-20 14:24:41
获取声誉辅助信息,杨柳依依2,阿根廷,失败：页面元素等待超时,2026-09-20 14:26:03
获取声誉辅助信息,杨柳依依2,巴西,失败：页面元素等待超时,2026-09-20 14:26:03
