任务类型,店铺名,站点,状态,记录时间
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-09 12:16:47
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-09 12:16:57
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-09 12:15:42
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-09 12:15:52
获取声誉信息,腾,墨西哥,失败：登录失效,2026-08-09 12:14:28
获取声誉信息,腾,阿根廷,失败：登录失效,2026-08-09 12:14:38
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-09 12:30:12
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-09 12:30:22
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-09 12:30:22
获取声誉信息,金光闪闪,墨西哥,失败：登录失效,2026-08-09 12:47:42
获取声誉信息,金光闪闪,巴西,失败：登录失效,2026-08-09 12:47:52
获取声誉信息,金光闪闪,阿根廷,失败：登录失效,2026-08-09 12:47:52
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-09 12:52:01
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-09 12:52:01
