任务类型,店铺名,站点,状态,记录时间
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-06 18:46:06
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-06 18:46:16
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-06 18:43:46
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-06 18:43:56
获取声誉信息,腾,墨西哥,失败：登录失效,2026-08-06 18:43:10
获取声誉信息,腾,阿根廷,失败：登录失效,2026-08-06 18:43:20
获取声誉信息,vngbjkk,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-06 19:25:45
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-06 18:52:58
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-06 18:53:08
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-06 18:53:08
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-06 19:04:02
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-06 19:04:02
